month,day,weekday,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
12,06,Mon,8124224.596667326,7803799.101199649,5641995.992349215,6349345.602784575,6976769.760781248,5786693.445871308,6261932.751254634,5926447.909986438,6253375.340733134,7376058.102851962,8542070.580614174,10069389.790670002,11636003.846070928,11256053.4490519,10545947.718261452,14212732.339162052,14215726.934090422,11300727.346380621,14607867.556090241,13813544.977313751,13948760.991353573,16446922.339390075,14719273.3305036,14014626.291906366,12596484.083248302,6980368.350208898,15400134.64640161,10517404.255179463,12998469.29188774,14282180.555242345,13571008.1776686,14084983.383135708,13811658.997117158,14900326.65193629,13190200.542289916,11112693.581780687,12117149.88530402,8494538.65408095,13331025.243725361,13718719.533189584,13223805.040760873,12105579.250873119,17344630.79695273,15789403.33436844,11593882.222140746,9617416.518348355,10341321.629114488,8714077.133098172
12,07,Tue,9255150.652748486,8623649.029054428,6266779.510304576,5863072.0650650235,5980765.934625411,7081273.120488918,6635600.87470271,7090069.349048747,6778344.212966195,7690123.994813743,8603448.208285976,8842724.363134878,11635231.134640794,10474940.852266554,12540403.24086618,12062900.652427036,12304041.246610034,10688235.55893513,9530928.443557827,11574271.988321405,12812292.190418448,15960093.292180562,12693371.585751822,12004720.042525064,12770494.268813355,12575799.667653909,12394531.77116724,10772657.925355215,14540516.239341099,14399668.281836916,13990363.87532718,15097054.226983467,12821849.21876747,11423679.946266502,11564467.992872875,13058271.648925824,12590089.98250671,10508887.094071465,12869105.475550618,13401158.438948434,11901507.917219553,12047966.577530881,9863074.479969773,8303313.928199002,11605271.404921506,8794753.638642954,8139701.580549209,7345457.9360676315
12,08,Wed,4155706.322020209,4576026.0410709875,4665338.8780045705,4951806.865408478,4694540.14309909,6559411.254709917,5813897.65652218,4177395.973751015,5601219.364307576,5038279.471666665,6631815.2566813985,7019575.264654192,10801011.24779954,14305752.829957873,8571105.860334992,7921288.762172729,10259583.017311504,10077531.841737786,8760217.357128687,8411063.071992459,9737672.775982827,11820724.361654703,10330230.8738949,10479612.51932712,12118182.366643533,10455422.451341737,9651877.680341164,9109368.118566284,10338943.966692707,10452621.321740583,12477548.281447142,12948034.71932185,15991125.157355174,14198289.562338766,11286850.282335099,10580072.21169315,12078006.665824387,12031252.012133893,11166866.370277833,10555435.08980425,10194311.022119373,11427407.23729327,10490541.873293202,8815071.795022007,8565771.385235308,6205909.901551395,7273174.527777263,8415275.420516089
12,09,Thu,5569561.046432371,7346388.589572569,7006622.650394939,4422289.976547821,6447337.057223184,3250005.0448422474,5722014.344321891,4450650.818882784,5145955.847135345,5384150.724922418,5877122.814087784,9983443.70459844,9074912.392214948,10785635.983178446,12656393.08383344,12296037.501817612,11889127.931846114,11778471.842439841,12427377.216765067,12822413.039451336,9222619.405558618,1373279.5123975377,13733471.866665175,12344742.701270867,10434413.66614489,6831409.223581308,11585209.666854281,12626636.477071738,13631392.100373393,11430782.17422969,12517654.344712364,13174352.218961844,11405765.247995464,12006874.659077404,9243850.920044117,13139351.08836596,11188527.201085085,10356071.718296034,14627448.647354132,12324662.030986657,13618763.840703556,12475400.446419895,10810917.250013184,6121233.583752985,7891095.639469178,6997817.0297250645,6732912.807401767,8370014.365073414
12,10,Fri,8952676.20181925,5370163.43390211,6298376.244168552,5977844.448669404,8717004.50852955,12464737.261336992,6746672.284626945,5704193.138020893,6515230.101095805,6089696.9159052,6313668.43434001,7548724.740206199,9955968.697292501,12772223.847636823,12172547.259738313,8886451.095325742,7690186.309522925,10697775.324810164,11239389.894677797,9489454.404758314,9881371.00259977,5978032.68281643,15153398.125091892,10461696.498402385,118317.00547427456,758179.0303783716,12050695.701289386,17312167.699917007,17412079.571878925,17343623.322401877,14072051.065012505,7411479.692535316,15141368.46722118,6092109.344126383,9451745.029647952,10066763.558183646,13551466.141546618,12003295.673523316,13496531.92780134,11888053.5881805,12358868.189559644,5598263.114607344,11110373.4139766,2737495.3310383605,10328179.969335556,9483130.851942962,8894390.18914303,8297392.928809344
12,11,Sat,6792066.572977905,7212881.564238414,6716846.693619862,8181765.165880348,6755963.8530757595,2910788.388460524,6596825.568656301,5848083.376170183,4532126.396037553,6211671.931641889,5300226.313302806,5112978.724400603,5629818.041857489,5232820.649105936,7385200.478573893,6583875.294930198,7464007.08619537,9407546.146510137,9106955.72322539,10649968.403409371,9502812.051915845,9633431.113181608,15948900.24724252,11965884.181126509,9963260.584662301,10665549.915522162,10421282.508910837,11044640.325878516,12623597.02837733,12019069.575179767,16658560.936241344,13908703.321991673,12284476.987392904,12994770.104865303,11812181.002157122,10129078.822391603,8585640.149792073,12897022.465581955,9649597.86725359,8559301.758697107,12583889.852396961,10336805.019721072,11358153.146153878,9681573.65982439,9158567.901024157,9110691.652252067,8195652.235749719,6851646.5938072745
12,12,Sun,8092786.108137869,6040920.406594495,4881201.8551874515,4078245.9931441774,4592860.446493174,4543859.063852248,3666487.3855245523,3915601.5013031056,4595706.575550172,3964252.9169343743,6448990.41863053,6647146.716715855,4346874.555349066,5297261.884868379,6988591.670898567,6968363.1928140465,8695174.87428871,10234450.356919035,11575500.295253072,16733562.25053649,14704282.53380037,9450400.691125711,12449020.843453242,9715595.09746446,11112319.08511073,11223637.195808291,11479389.015649423,11216898.23249978,10359765.722785857,12558646.571232457,11268646.399282983,14460965.094617205,11266539.959718475,10955267.778429938,11123294.205440313,10494558.197581986,11381985.627800645,11068485.101859733,10133467.612959811,10870355.900184007,7671709.068009123,10490402.870656436,10883414.764558798,10708527.235489633,9610736.99899234,13720534.616046464,9175206.159302544,7503895.889896899
12,13,Mon,7893027.4174329955,6588876.960119261,7470343.401649189,7381914.186895308,5507769.586977139,5187963.1151918275,6796319.736737098,5738731.593734811,5884100.031243352,5764323.753010034,6190577.731253907,8045896.240074133,11296282.197609644,11241399.98331761,11793857.167564558,10603154.532112857,13578952.53167155,13393965.76478902,11736215.756886434,10241815.686230035,11486252.980980443,11115163.463656351,11424945.615506882,12185729.334467387,12777554.762382727,18401412.18236441,13731213.50899369,13013325.454377605,13282883.757144408,12494079.094243973,11250592.638667328,11557346.709779143,11660404.650580492,12059423.941257069,13198058.26822858,11133443.418687966,11784491.24723655,10892227.785218988,8751054.218680808,9441490.355729103,10371597.617749823,11057977.566956136,8786549.480827307,10274666.791656518,9817298.543879446,9344508.535233648,7648983.327185909,9410568.431763925
12,14,Tue,8112883.798950268,5904088.124344876,8794385.178703783,5937325.840240906,7698465.342422242,6235546.83168494,5219767.076236093,6811668.34162232,6054473.998085619,7278168.454028172,6750492.082354852,7484832.277412941,10058291.674510898,12195564.536021901,14951860.67689028,12262891.075851604,14100602.796849083,13709522.07361039,13699352.587936392,15938289.52368803,15334482.477071477,15471814.163477123,15501092.417305887,15780913.158987388,17501338.56048837,7430125.722027603,17073933.315903474,14106205.922152992,15864751.96492522,13634384.064186897,13095358.506915366,11882609.445156058,15766977.746584048,11119585.720863637,11686665.562611526,11904200.614877556,12914301.46994123,8411351.888353975,11940739.200208405,13384601.677655509,11817308.967490302,11747806.173918562,11636152.198010236,8809062.95445974,8313158.652053726,8169567.251794957,5830870.886503517,4213082.1753159985
12,15,Wed,7451137.878779272,5480207.863555533,6585687.391222007,4491525.638290173,4969744.2125807945,5454288.29881837,3957689.392731041,5243919.874836431,4246384.00241753,6387400.908145792,7886041.814411739,6077421.358826897,10527264.211012272,10483020.806466797,12212709.520315439,10731949.554338606,9762797.537234236,9318431.673986215,11395117.903146561,11629512.133397061,10219119.915030733,11957885.521552766,11317072.266090447,13943025.230474174,11443869.755157366,4788379.902496083,12289515.810238963,15108523.4778014,15503979.977049192,16918021.65029263,14260773.52526175,11680072.59624807,12496267.89443871,12011855.511609886,10973412.775628345,11848675.53377199,8932878.698575223,11362522.928770257,9007386.464965299,11050798.000995135,11872988.650769217,11365454.003477287,9647215.710936021,10050390.026098758,7064809.48323753,10091449.44403061,9829484.898290703,7074823.744358865
12,16,Thu,6260418.630006454,5179752.987348357,5222803.616981611,6184172.0192013215,6585954.052630582,4282513.463410286,8405329.699961418,5646262.573206499,5178174.204375935,3560747.0848071524,6540625.616502004,5984427.4620005945,9903079.145218844,12740193.498933818,12199100.303591553,12055377.049501088,13803925.783798633,17467574.674605794,13573590.513377652,10948318.702574685,10906423.982583573,12699459.445073768,13596175.144540135,13560476.002776165,15726518.241986904,16354745.905453011,16631458.71114029,15481617.495368782,13060879.1582233,14669734.959208345,13649214.309101198,16700589.685756892,13450924.449450497,13763066.097916061,12114579.613398625,12341432.212293578,12340365.312604938,10198771.59949832,13030632.083367342,10295844.676627785,11186418.538057832,10825503.932638228,7966804.940727574,7805824.343986133,8449272.472583225,10107478.775473448,6737397.390003481,471129.88975379296
12,17,Fri,7667313.833900751,6609546.891649403,5890389.141020297,6613405.824624765,7590398.034516324,4393261.258592418,6010171.359217003,6006175.4353840705,7325335.375704936,8530320.863368386,8569784.513015803,10244269.801951181,10948563.949222876,17698772.25555498,17520711.937395103,15773648.719868347,13238037.776157048,13864428.099593986,15382594.94843482,17148534.818152986,17354038.527505662,14599460.263557127,16768124.947651107,16955166.4632365,22515825.242864527,17025476.79795254,17731479.298238605,17501962.716810882,16887783.625602134,16756417.781359311,14463381.57299912,12634432.655858124,10726922.793845087,14060462.007737037,14461355.357027117,12243844.874090573,12959197.700685145,5750393.510662341,11744116.017618839,10032137.942308798,11028226.057962833,11687108.755143752,11963857.798246417,9304354.689951478,10614565.167090714,8107922.167367721,7857012.29238045,9016164.47908983
12,18,Sat,7791102.130376446,6518400.365733219,6269448.670483148,4478869.612033472,5078604.298744996,5721879.326657963,4520823.16627011,4177820.0834604106,4890505.703564828,4600215.6359351445,4120072.1390009113,6544354.637525831,5783693.60929344,7777665.608386891,5998052.958407731,10532495.63976865,7261400.708149231,9175267.229513934,9778488.947328469,11016722.702493766,12628666.446232429,2631535.235524864,15358097.938989198,13676137.681339877,13810560.836920025,12511161.802307878,12749645.057535708,3649884.6653692205,12932348.198573679,12454024.759420743,12981403.201931132,11975966.140958196,10924821.488182366,11172169.360347893,11263905.90075942,9875646.625335936,10930915.898289004,10030520.54711222,10973462.07339329,12844830.101186264,11679591.208814716,10055467.372283671,11058900.62840576,13872151.721643547,10025200.97192571,10002988.296450417,4214387.6660272945,990258.4210705745
12,19,Sun,8424067.793884609,9031771.083016764,7636490.626378163,8879175.487686431,5848410.618574795,7143156.203816111,6570978.143148527,6121940.808106114,4942569.589301011,5847895.834902743,6635118.548886115,5442752.1568492325,6355873.899906113,7085054.724551932,9246943.262225557,11273408.191229003,10556694.892343463,1574858.9619835932,12456093.34046849,14163100.94423153,14148237.724486709,14613415.983588656,14904530.690011824,14194066.113328246,12688750.126692023,12343339.467972774,9962271.050568623,1629005.9891077005,11778805.759216804,12543134.062905101,11105828.897221547,11598651.284559699,11665033.253720313,12693731.810188042,10620187.959922414,11459344.671462895,11740933.467248814,11464175.578963066,12468245.668801993,15055221.531496568,17683208.58580256,12417758.61028954,13740912.129136112,10949264.340541838,10381202.750316996,9478571.330618102,9645931.369586391,6125392.5924021
